season,team,team_abb,player,position,games,minutes_per_game
2022-23,Atlanta Hawks,ATL,Dejounte Murray,G,74,36.4
2022-23,Atlanta Hawks,ATL,Trae Young,G,73,34.8
2022-23,Atlanta Hawks,ATL,De'Andre Hunter,F-G,67,31.7
2022-23,Atlanta Hawks,ATL,John Collins,F-C,71,30.0
2022-23,Atlanta Hawks,ATL,Bogdan Bogdanović,G,54,27.9
2022-23,Atlanta Hawks,ATL,Saddiq Bey,F,77,27.6
2022-23,Atlanta Hawks,ATL,Clint Capela,C,65,26.6
2022-23,Atlanta Hawks,ATL,Onyeka Okongwu,F-C,80,23.1
2022-23,Atlanta Hawks,ATL,AJ Griffin,F,72,19.5
2022-23,Atlanta Hawks,ATL,Jalen Johnson,F,70,14.9
2022-23,Atlanta Hawks,ATL,Aaron Holiday,G,63,13.4
2022-23,Atlanta Hawks,ATL,Garrison Mathews,G,54,12.7
2022-23,Atlanta Hawks,ATL,Trent Forrest,G,23,12.0
2022-23,Atlanta Hawks,ATL,Bruno Fernando,F-C,39,10.4
2022-23,Atlanta Hawks,ATL,Vít Krejčí,G,29,5.7
2022-23,Atlanta Hawks,ATL,Tyrese Martin,G,16,4.1
2022-23,Atlanta Hawks,ATL,Donovan Williams,G,2,2.1
2022-23,Boston Celtics,BOS,Jayson Tatum,F-G,74,36.9
2022-23,Boston Celtics,BOS,Jaylen Brown,G-F,67,35.9
2022-23,Boston Celtics,BOS,Marcus Smart,G,61,32.1
2022-23,Boston Celtics,BOS,Al Horford,C-F,63,30.5
2022-23,Boston Celtics,BOS,Derrick White,G,82,28.3
2022-23,Boston Celtics,BOS,Malcolm Brogdon,G,67,26.0
2022-23,Boston Celtics,BOS,Grant Williams,F,79,25.9
2022-23,Boston Celtics,BOS,Robert Williams III,C-F,35,23.5
2022-23,Boston Celtics,BOS,Sam Hauser,F,80,16.1
2022-23,Boston Celtics,BOS,Mike Muscala,F-C,63,15.0
2022-23,Boston Celtics,BOS,Blake Griffin,F,41,13.9
2022-23,Boston Celtics,BOS,Payton Pritchard,G,48,13.4
2022-23,Boston Celtics,BOS,Luke Kornet,C-F,69,11.7
2022-23,Boston Celtics,BOS,Mfiondu Kabengele,C,4,9.1
2022-23,Boston Celtics,BOS,Justin Champagnie,G-F,5,6.9
2022-23,Boston Celtics,BOS,JD Davison,G,12,5.5
2022-23,Boston Celtics,BOS,Danilo Gallinari,F,0,0.0
2022-23,Cleveland Cavaliers,CLE,Donovan Mitchell,G,68,35.8
2022-23,Cleveland Cavaliers,CLE,Darius Garland,G,69,35.5
2022-23,Cleveland Cavaliers,CLE,Evan Mobley,C,79,34.4
2022-23,Cleveland Cavaliers,CLE,Jarrett Allen,C,68,32.6
2022-23,Cleveland Cavaliers,CLE,Caris LeVert,G,74,30.2
2022-23,Cleveland Cavaliers,CLE,Isaac Okoro,F-G,76,21.7
2022-23,Cleveland Cavaliers,CLE,Dean Wade,F-C,44,20.3
2022-23,Cleveland Cavaliers,CLE,Cedi Osman,F,77,20.1
2022-23,Cleveland Cavaliers,CLE,Lamar Stevens,F,62,18.1
2022-23,Cleveland Cavaliers,CLE,Ricky Rubio,G,33,17.2
2022-23,Cleveland Cavaliers,CLE,Danny Green,G,11,12.6
2022-23,Cleveland Cavaliers,CLE,Sam Merrill,G,5,11.7
2022-23,Cleveland Cavaliers,CLE,Raul Neto,G,48,10.5
2022-23,Cleveland Cavaliers,CLE,Robin Lopez,C,37,8.1
2022-23,Cleveland Cavaliers,CLE,Mamadi Diakite,F,22,8.0
2022-23,Cleveland Cavaliers,CLE,Isaiah Mobley,F,12,7.0
2022-23,Cleveland Cavaliers,CLE,Dylan Windler,G-F,3,3.5
2022-23,New Orleans Pelicans,NOP,CJ McCollum,G,75,35.3
2022-23,New Orleans Pelicans,NOP,Brandon Ingram,F,45,34.2
2022-23,New Orleans Pelicans,NOP,Zion Williamson,F,29,33.0
2022-23,New Orleans Pelicans,NOP,Trey Murphy III,F,79,31.0
2022-23,New Orleans Pelicans,NOP,Herbert Jones,F,66,29.6
