season,team,team_abb,player,position,games,minutes_per_game
2024-25,Atlanta Hawks,ATL,Trae Young,G,76,36.0
2024-25,Atlanta Hawks,ATL,Jalen Johnson,F,36,35.7
2024-25,Atlanta Hawks,ATL,Dyson Daniels,G,76,33.8
2024-25,Atlanta Hawks,ATL,Onyeka Okongwu,F-C,74,27.9
2024-25,Atlanta Hawks,ATL,Caris LeVert,G,64,24.9
2024-25,Atlanta Hawks,ATL,Zaccharie Risacher,F,75,24.6
2024-25,Atlanta Hawks,ATL,Georges Niang,F,79,21.5
2024-25,Atlanta Hawks,ATL,Clint Capela,C,55,21.4
2024-25,Atlanta Hawks,ATL,Terance Mann,G-F,67,21.1
2024-25,Atlanta Hawks,ATL,Vít Krejčí,G,57,20.2
2024-25,Atlanta Hawks,ATL,Larry Nance Jr.,F-C,24,19.3
2024-25,Atlanta Hawks,ATL,Garrison Mathews,G,47,17.6
2024-25,Atlanta Hawks,ATL,Keaton Wallace,G,31,16.2
2024-25,Atlanta Hawks,ATL,Mouhamed Gueye,F,33,16.1
2024-25,Atlanta Hawks,ATL,Kobe Bufkin,G,10,12.4
2024-25,Atlanta Hawks,ATL,Daeqwon Plowden,G-F,6,11.9
2024-25,Atlanta Hawks,ATL,Dominick Barlow,F,35,10.7
2024-25,Atlanta Hawks,ATL,Jacob Toppin,F,17,4.4
2024-25,Boston Celtics,BOS,Jayson Tatum,F-G,72,36.4
2024-25,Boston Celtics,BOS,Jaylen Brown,G-F,63,34.3
2024-25,Boston Celtics,BOS,Derrick White,G,76,33.9
2024-25,Boston Celtics,BOS,Jrue Holiday,G,62,30.6
2024-25,Boston Celtics,BOS,Kristaps Porziņģis,F-C,42,28.8
2024-25,Boston Celtics,BOS,Payton Pritchard,G,80,28.4
2024-25,Boston Celtics,BOS,Al Horford,C-F,60,27.6
2024-25,Boston Celtics,BOS,Sam Hauser,F,71,21.7
2024-25,Boston Celtics,BOS,Luke Kornet,C-F,73,18.6
2024-25,Boston Celtics,BOS,Neemias Queta,C,62,13.9
2024-25,Boston Celtics,BOS,Baylor Scheierman,G,31,12.4
2024-25,Boston Celtics,BOS,Torrey Craig,F,26,12.1
2024-25,Boston Celtics,BOS,Miles Norris,F,3,11.6
2024-25,Boston Celtics,BOS,Jordan Walsh,G,52,7.8
2024-25,Boston Celtics,BOS,Drew Peterson,F,25,7.4
2024-25,Boston Celtics,BOS,Xavier Tillman,F,33,7.0
2024-25,Boston Celtics,BOS,JD Davison,G,16,5.8
2024-25,Cleveland Cavaliers,CLE,Donovan Mitchell,G,71,31.4
2024-25,Cleveland Cavaliers,CLE,Darius Garland,G,75,30.7
2024-25,Cleveland Cavaliers,CLE,Evan Mobley,C,71,30.5
2024-25,Cleveland Cavaliers,CLE,Jarrett Allen,C,82,28.0
2024-25,Cleveland Cavaliers,CLE,De'Andre Hunter,F-G,64,27.2
